experiment,strategy,hashFn,params,metrics
hash-quality,-,murmur3,"{""keys"":1000000,""buckets"":1000}","{""min"":892,""max"":1136,""stddev"":30.09,""coefficientOfVariation"":0.0301,""chiSquare"":905.22}"
hash-quality,-,md5,"{""keys"":1000000,""buckets"":1000}","{""min"":901,""max"":1106,""stddev"":30.99,""coefficientOfVariation"":0.031,""chiSquare"":960.22}"
key-movement,modulo,murmur3,"{""keys"":1000000,""nodesBefore"":8,""nodesAfter"":9}","{""moved"":888674,""movedPct"":0.8887}"
key-movement,ring,murmur3,"{""keys"":1000000,""nodesBefore"":8,""nodesAfter"":9}","{""moved"":86749,""movedPct"":0.0867}"
key-movement,vnode-ring,murmur3,"{""keys"":1000000,""nodesBefore"":8,""nodesAfter"":9}","{""moved"":113308,""movedPct"":0.1133}"
key-movement,modulo,md5,"{""keys"":1000000,""nodesBefore"":8,""nodesAfter"":9}","{""moved"":888169,""movedPct"":0.8882}"
key-movement,ring,md5,"{""keys"":1000000,""nodesBefore"":8,""nodesAfter"":9}","{""moved"":31532,""movedPct"":0.0315}"
key-movement,vnode-ring,md5,"{""keys"":1000000,""nodesBefore"":8,""nodesAfter"":9}","{""moved"":137631,""movedPct"":0.1376}"
naive-reshard-failures,modulo,murmur3,"{""keys"":1000000,""nodesBefore"":8,""nodesAfter"":9}","{""failedReads"":888674,""failureRate"":0.8887}"
naive-reshard-failures,ring,murmur3,"{""keys"":1000000,""nodesBefore"":8,""nodesAfter"":9}","{""failedReads"":86749,""failureRate"":0.0867}"
naive-reshard-failures,vnode-ring,murmur3,"{""keys"":1000000,""nodesBefore"":8,""nodesAfter"":9}","{""failedReads"":113308,""failureRate"":0.1133}"
naive-reshard-failures,modulo,md5,"{""keys"":1000000,""nodesBefore"":8,""nodesAfter"":9}","{""failedReads"":888169,""failureRate"":0.8882}"
naive-reshard-failures,ring,md5,"{""keys"":1000000,""nodesBefore"":8,""nodesAfter"":9}","{""failedReads"":31532,""failureRate"":0.0315}"
naive-reshard-failures,vnode-ring,md5,"{""keys"":1000000,""nodesBefore"":8,""nodesAfter"":9}","{""failedReads"":137631,""failureRate"":0.1376}"
load-balance,modulo,murmur3,"{""keys"":1000000,""nodeCount"":8}","{""min"":124741,""max"":125422,""stddev"":262.52,""coefficientOfVariation"":0.0021}"
load-balance,ring,murmur3,"{""keys"":1000000,""nodeCount"":8}","{""min"":7394,""max"":309884,""stddev"":91206.2,""coefficientOfVariation"":0.7296}"
load-balance,vnode-ring,murmur3,"{""keys"":1000000,""nodeCount"":8}","{""min"":117235,""max"":130533,""stddev"":5490.43,""coefficientOfVariation"":0.0439}"
load-balance,modulo,md5,"{""keys"":1000000,""nodeCount"":8}","{""min"":124703,""max"":125457,""stddev"":266.98,""coefficientOfVariation"":0.0021}"
load-balance,ring,md5,"{""keys"":1000000,""nodeCount"":8}","{""min"":39069,""max"":319156,""stddev"":95358.45,""coefficientOfVariation"":0.7629}"
load-balance,vnode-ring,md5,"{""keys"":1000000,""nodeCount"":8}","{""min"":118336,""max"":139083,""stddev"":6235.88,""coefficientOfVariation"":0.0499}"
node-failure,modulo,murmur3,"{""keys"":300000,""nodeCount"":3,""deadNodeId"":""node-0""}","{""deadNodeKeyCount"":99589,""maxSurvivorSharePct"":0.5014,""minSurvivorSharePct"":0.4986}"
node-failure,ring,murmur3,"{""keys"":300000,""nodeCount"":3,""deadNodeId"":""node-0""}","{""deadNodeKeyCount"":153440,""maxSurvivorSharePct"":1,""minSurvivorSharePct"":0}"
node-failure,vnode-ring,murmur3,"{""keys"":300000,""nodeCount"":3,""deadNodeId"":""node-0""}","{""deadNodeKeyCount"":107379,""maxSurvivorSharePct"":0.5069,""minSurvivorSharePct"":0.4931}"
node-failure,modulo,md5,"{""keys"":300000,""nodeCount"":3,""deadNodeId"":""node-0""}","{""deadNodeKeyCount"":99536,""maxSurvivorSharePct"":0.5004,""minSurvivorSharePct"":0.4996}"
node-failure,ring,md5,"{""keys"":300000,""nodeCount"":3,""deadNodeId"":""node-0""}","{""deadNodeKeyCount"":161257,""maxSurvivorSharePct"":1,""minSurvivorSharePct"":0}"
node-failure,vnode-ring,md5,"{""keys"":300000,""nodeCount"":3,""deadNodeId"":""node-0""}","{""deadNodeKeyCount"":104115,""maxSurvivorSharePct"":0.5785,""minSurvivorSharePct"":0.4215}"
vnode-sweep,vnode-ring,murmur3,"{""vnodeCount"":1,""nodeCount"":8}","{""coefficientOfVariation"":0.9291,""bytesApprox"":352,""buildTimeMs"":0.042,""lookupOpsPerSec"":8606932}"
vnode-sweep,vnode-ring,murmur3,"{""vnodeCount"":10,""nodeCount"":8}","{""coefficientOfVariation"":0.2608,""bytesApprox"":3520,""buildTimeMs"":0.062,""lookupOpsPerSec"":7770171}"
vnode-sweep,vnode-ring,murmur3,"{""vnodeCount"":50,""nodeCount"":8}","{""coefficientOfVariation"":0.1589,""bytesApprox"":17600,""buildTimeMs"":0.163,""lookupOpsPerSec"":7382707}"
vnode-sweep,vnode-ring,murmur3,"{""vnodeCount"":100,""nodeCount"":8}","{""coefficientOfVariation"":0.1244,""bytesApprox"":35200,""buildTimeMs"":0.242,""lookupOpsPerSec"":7171843}"
vnode-sweep,vnode-ring,murmur3,"{""vnodeCount"":150,""nodeCount"":8}","{""coefficientOfVariation"":0.0439,""bytesApprox"":52800,""buildTimeMs"":0.31,""lookupOpsPerSec"":6978377}"
